Period Day,1,2,3,4,5
m,早讀,早讀,早讀,早讀,早讀
m-t,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc
1,Biology,History,Biology,Biology,Chinese
1-t,https://us02web.zoom.us/j/84769923785?pwd=TEd1T1pJbGRlbkNjVWkvK1EyVkRkdz09,https://meet.google.com/yqq-jwkk-yxa,https://us02web.zoom.us/j/84769923785?pwd=TEd1T1pJbGRlbkNjVWkvK1EyVkRkdz09,https://us02web.zoom.us/j/84769923785?pwd=TEd1T1pJbGRlbkNjVWkvK1EyVkRkdz09,https://meet.google.com/dmp-vips-cqj
2,English (H),Chinese,Math,Chinese,History
2-t,https://meet.google.com/cwt-gpnh-ish,https://meet.google.com/dmp-vips-cqj,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/dmp-vips-cqj,https://meet.google.com/yqq-jwkk-yxa
3,Math,Math,English (H),體育,Biology
3-t,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/cwt-gpnh-ish,See Google Classroom,https://us02web.zoom.us/j/84769923785?pwd=TEd1T1pJbGRlbkNjVWkvK1EyVkRkdz09
4,Math,Counseling,English (H),體育,History
4-t,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/sup-qkbi-mks,https://meet.google.com/cwt-gpnh-ish,See Google Classroom,https://meet.google.com/yqq-jwkk-yxa
n,午休,午休,午休,午休,午休
5,History,English (H),Japanese,English (H),班會
5-t,https://meet.google.com/yqq-jwkk-yxa,https://meet.google.com/cwt-gpnh-ish,https://meet.google.com/jjc-zgkh-wck,https://meet.google.com/cwt-gpnh-ish,https://meet.google.com/fjr-bwao-vqc
6,Chinese,Biology,Japanese,Math,班會
6-t,https://meet.google.com/dmp-vips-cqj,https://us02web.zoom.us/j/84769923785?pwd=TEd1T1pJbGRlbkNjVWkvK1EyVkRkdz09,https://meet.google.com/jjc-zgkh-wck,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc
7,生科,Biology,Art,History,Math
7-t,https://meet.google.com/zgp-fsrn-bsm,https://us02web.zoom.us/j/84769923785?pwd=TEd1T1pJbGRlbkNjVWkvK1EyVkRkdz09,https://meet.google.com/nkb-oskr-eog,https://meet.google.com/yqq-jwkk-yxa,https://meet.google.com/fjr-bwao-vqc
8,Math,導師時間,Chinese,導師時間,English (H)
8-t,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/dmp-vips-cqj,https://meet.google.com/fjr-bwao-vqc,https://meet.google.com/cwt-gpnh-ish
9,導師時間,,導師時間,,導師時間
9-t,https://meet.google.com/fjr-bwao-vqc,,https://meet.google.com/fjr-bwao-vqc,,https://meet.google.com/fjr-bwao-vqc
